TFR,AQUEOUS,PEG,FRR,CHOL,ESM,HSPC,PDI,SIZE
0.25,MQ,0.0,3.0,10.121,24.779,0.0,0.132,191.239
0.25,MQ,3.3520000000000003,7.0,3.3520000000000003,0.0,9.576,0.317,122.904
0.25,MQ,3.3520000000000003,7.0,3.3520000000000003,0.0,20.91532130137204,0.316,122.904
0.71,MQ,2.8492,23.0,5.363200000000001,0.0,8.547600000000001,0.258,102.022
1.0,PBS,0.9591635424866132,5.0,1.0310812245632734,0.0,11.5644,0.277,74.3
1.0,PBS,5.754981254919678,2.5,3.093243673689821,0.0,8.547600000000001,0.236,138.8
1.37,MQ,3.3520000000000003,7.0,3.3520000000000003,0.0,9.576,0.243,76.796
1.37,MQ,3.3520000000000003,7.0,3.3520000000000003,0.0,10.056,0.335,67.366
1.375,MQ,0.0,3.0,5.0,15.0,0.0,0.101,162.675
1.375,MQ,0.0,3.0,5.0,15.0,0.0,0.143,127.517
1.375,MQ,0.0,3.0,10.0,10.0,0.0,0.066,88.68
1.375,MQ,0.0,3.0,10.121,24.779,0.0,0.064,160.969
1.375,MQ,0.0,3.0,10.121,24.779,0.0,0.087,161.035
1.375,MQ,0.0,3.0,10.121,24.779,0.0,0.103,161.035
1.375,MQ,0.0,5.0,5.0,15.0,0.0,0.037,130.699
1.375,MQ,0.0,5.0,10.121,24.779,0.0,0.044,125.924
1.375,MQ,3.192,1.0,3.192,0.0,8.547600000000001,0.4,157.64
1.375,MQ,3.192,1.0,3.192,0.0,10.056,0.421,90.63
1.375,MQ,3.192,3.0,3.192,0.0,2.873878576461078,0.248,78.939
1.375,MQ,3.192,3.0,3.192,0.0,8.621635729383234,0.256,80.004
1.375,MQ,3.192,3.0,3.192,0.0,9.576,0.212,80.004
1.375,MQ,3.192,3.0,3.192,0.0,9.576,0.228,85.223
1.375,MQ,3.192,3.0,3.192,0.0,9.576,0.233,77.339
1.375,MQ,3.192,3.0,3.192,0.0,10.056,0.251,80.386
1.375,MQ,3.192,4.4,3.192,0.0,10.056,0.241,75.772
1.375,MQ,3.192,4.4,3.192,0.0,13.943547534248028,0.241,75.772
2.04,MQ,3.8548,23.0,1.3408000000000002,0.0,11.25,0.355,79.661
2.04,MQ,3.8548,23.0,1.3408000000000002,0.0,11.5644,0.376,93.161
2.17,MQ,3.192,1.6,3.192,0.0,9.576,0.174,100.593
2.5,MQ,0.0,3.0,10.121,24.779,0.0,0.054,155.385
2.5,MQ,2.8492,1.0,5.363200000000001,0.0,9.576,0.217,108.9
2.5,MQ,3.3520000000000003,7.0,3.3520000000000003,0.0,9.576,0.291,73.083
2.5,MQ,3.3520000000000003,7.0,3.3520000000000003,0.0,10.056,0.334,77.533
2.5,PBS,0.0,3.0,5.0,15.0,0.0,0.042,157.52
2.5,PBS,0.9591635424866132,2.5,0.5155406122816367,0.0,10.056,0.184,64.4
2.5,PBS,0.9591635424866132,2.5,1.0310812245632734,0.0,10.056,0.184,112.4
2.5,PBS,1.918327084973226,2.5,1.0310812245632734,0.0,10.056,0.166,64.4
2.5,PBS,2.877490627459839,5.0,3.093243673689821,0.0,10.056,0.206,97.6
2.5,PBS,5.754981254919678,2.5,1.5466218368449105,0.0,3.918925331537834,0.267,64.4
2.5,PBS,5.754981254919678,2.5,1.5466218368449105,10.235544516256562,0.0,0.201333997671457,1991.83548152214
2.5,PBS,12.79764984945341,8.0,5.15895461011433,0.0,3.75,0.245,125.2
2.5,PBS,12.79764984945341,8.0,6.878606146819108,0.0,20.91532130137204,0.245,95.0
2.5,PBS,12.8,4.0,5.15895461011433,0.0,2.873878576461078,0.343,93.8
2.5,PBS,12.8,4.0,5.15895461011433,0.0,10.056,0.336,97.7
2.5,PBS,12.8,4.0,6.878606146819108,0.0,9.576,0.336,93.8
2.5,PBS,12.8,6.0,8.598257683523885,0.0,9.576,0.292,89.3
2.5,PBS,12.8,8.0,5.15895461011433,0.0,9.0,0.235,98.3
2.5,PBS,12.8,8.0,6.878606146819108,0.0,20.91532130137204,0.235,125.2
2.5,PBS,12.8,8.0,8.598257683523885,0.0,10.056,0.248,131.3
