CHOL,ESM,PEG,HSPC,AQUEOUS,FRR,TFR,PDI,SIZE
0.5155406122816367,0.0,0.9591635424866132,2.612616887691889,PBS,2.5,1.0,0.428,140.5
0.5155406122816367,0.0,0.9591635424866132,9.576,PBS,2.5,2.5,0.184,64.4
0.5155406122816367,0.0,0.9591635424866132,10.972990928305936,PBS,2.5,1.0,0.428,414.4
0.5155406122816367,0.0,0.9591635424866132,17.429434417810032,PBS,2.5,2.5,0.184,64.4
1.0310812245632734,0.0,0.9591635424866132,10.056,PBS,2.5,2.5,0.184,112.4
1.0310812245632734,0.0,1.918327084973226,9.576,PBS,5.0,2.5,0.375,118.8
1.5466218368449105,10.235544516256562,5.754981254919678,0.0,PBS,2.5,2.5,0.201333997671457,1991.83548152214
3.0,0.0,3.0,9.576,PBS,3.0,0.25,0.369,148.899
3.093243673689821,0.0,2.877490627459839,9.576,PBS,2.5,1.0,0.163,138.8
3.093243673689821,7.311103225897543,5.754981254919678,0.0,PBS,5.0,1.0,0.21054961061435,84.1084744653935
3.192,0.0,3.192,8.547600000000001,MQ,3.0,1.375,0.251,81.475
3.192,0.0,3.192,8.547600000000001,MQ,4.4,0.58,0.306,102.589
3.192,0.0,3.192,9.576,MQ,3.0,1.375,0.229,80.386
3.192,0.0,3.192,9.576,MQ,3.0,1.375,0.257,83.696
3.192,0.0,3.192,12.570000000000002,MQ,3.0,1.375,0.251,77.339
3.192,0.0,3.192,20.91532130137204,MQ,3.0,2.5,0.272,68.868
3.3520000000000003,0.0,3.3520000000000003,7.542000000000001,MQ,7.0,1.37,0.243,67.136
3.3520000000000003,0.0,3.3520000000000003,8.547600000000001,MQ,7.0,0.25,0.284,124.162
3.3520000000000003,0.0,3.3520000000000003,9.576,MQ,7.0,0.25,0.284,108.6
3.3520000000000003,0.0,3.3520000000000003,10.056,MQ,7.0,0.25,0.317,123.533
3.3520000000000003,0.0,3.3520000000000003,12.570000000000002,MQ,7.0,1.37,0.286,85.58
3.3520000000000003,0.0,3.3520000000000003,15.77363814811808,MQ,7.0,2.5,0.334,73.083
5.0,15.0,0.0,0.0,MQ,3.0,0.25,0.213,180.646
5.0,15.0,0.0,0.0,MQ,3.0,0.25,0.271,190.929
5.0,15.0,0.0,0.0,MQ,3.0,1.375,0.099,165.879
5.0,15.0,0.0,0.0,MQ,5.0,1.375,0.037,137.567
5.15895461011433,19.509694635740782,12.79764984945341,0.0,PBS,8.0,2.5,0.17,85.0
5.15895461011433,19.509694635740782,12.79764984945341,0.0,PBS,8.0,2.5,0.19,85.0
5.363200000000001,0.0,2.8492,13.943547534248028,MQ,1.0,2.5,0.217,90.31
6.704000000000001,0.0,2.514,8.547600000000001,MQ,1.0,1.375,0.14,158.663
6.704000000000001,0.0,2.514,9.576,MQ,7.0,1.37,0.273,77.267
6.704000000000001,0.0,2.514,10.056,MQ,1.0,2.5,0.13,108.9
6.704000000000001,0.0,2.514,12.570000000000002,MQ,3.5002575415843395,1.375,0.171,71.77
6.878606146819108,0.0,12.8,20.91532130137204,PBS,4.0,2.5,0.345,97.7
7.695440626753877,0.0,12.79764984945341,3.657663642768645,PBS,8.0,2.5,0.242,95.1
7.695440626753877,0.0,12.79764984945341,7.542000000000001,PBS,8.0,2.5,0.242,122.1
8.598257683523885,0.0,12.8,8.547600000000001,PBS,8.0,2.5,0.351,95.0
8.598257683523885,13.006463090493858,12.79764984945341,0.0,PBS,4.0,2.5,0.179,94.0
10.121,24.779,0.0,0.0,MQ,1.6,0.58,0.271,189.764
10.121,24.779,0.0,0.0,MQ,3.0,0.25,0.132,183.962
10.121,24.779,0.0,0.0,MQ,3.0,0.25,0.16,167.216
10.121,24.779,0.0,0.0,MQ,3.0,1.375,0.061,150.9315
10.121,24.779,0.0,0.0,MQ,3.0,1.375,0.062,158.593
10.121,24.779,0.0,0.0,MQ,3.0,1.375,0.111,158.593
10.121,24.779,0.0,0.0,MQ,5.0,1.375,0.07,115.891
20.0,20.0,0.0,0.0,MQ,3.0,0.25,0.106,6478.919
