TFR,AQUEOUS,FRR,PEG,CHOL,ESM,HSPC,PDI,SIZE
0.25,MQ,3.0,0.0,5.0,15.0,0.0,0.271,189.471
0.25,MQ,3.0,0.0,10.121,24.779,0.0,0.132,191.239
0.25,MQ,3.0,3.192,3.192,0.0,9.576,0.295,117.567
0.25,MQ,3.0,3.192,3.192,0.0,10.056,0.295,135.609
0.25,PBS,3.0,0.0,10.121,24.779,0.0,0.16,167.216
1.0,PBS,2.5,0.9591635424866132,1.0310812245632734,0.0,8.547600000000001,0.428,140.5
1.0,PBS,2.5,5.754981254919678,1.5466218368449105,10.235544516256562,0.0,0.238162474080819,843.290836894877
1.0,PBS,3.0,0.0,5.0,5.0,0.0,0.1,2254.269
1.37,MQ,7.0,3.3520000000000003,3.3520000000000003,0.0,9.576,0.234,76.205
1.375,MQ,1.0,0.0,10.121,24.779,0.0,0.252,240.863
1.375,MQ,3.0,0.0,5.0,15.0,0.0,0.143,127.517
1.375,MQ,3.0,0.0,10.121,24.779,0.0,0.065,162.206
1.375,MQ,3.0,0.0,10.121,24.779,0.0,0.081,162.206
1.375,MQ,3.0,0.0,10.121,24.779,0.0,0.085,139.586
1.375,MQ,3.0,0.0,10.121,24.779,0.0,0.091,164.343
1.375,MQ,3.0,3.192,3.192,0.0,8.547600000000001,0.251,83.696
1.375,MQ,3.0,3.192,3.192,0.0,9.0,0.233,155.532
1.375,MQ,3.0,3.192,3.192,0.0,9.576,0.228,80.004
1.375,MQ,3.0,3.192,3.192,0.0,9.576,0.229,80.004
1.375,MQ,3.0,3.192,3.192,0.0,9.576,0.231,78.939
1.375,MQ,3.5002575415843395,0.0,10.0,10.0,0.0,0.09,84.04
1.375,MQ,4.4,3.192,3.192,0.0,8.547600000000001,0.241,76.973
1.375,MQ,4.4,3.192,3.192,0.0,10.056,0.254,76.545
1.375,MQ,5.0,0.0,10.121,24.779,0.0,0.058,120.9075
2.04,MQ,23.0,2.8492,5.363200000000001,0.0,10.056,0.265,94.499
2.17,MQ,1.6,0.0,10.121,24.779,0.0,0.244,298.002
2.5,MQ,3.0,0.0,10.121,24.779,0.0,0.05,155.385
2.5,MQ,3.0,0.0,10.121,24.779,0.0,0.054,137.968
2.5,MQ,3.0,3.192,3.192,0.0,3.75,0.272,65.3
2.5,MQ,3.0,3.192,3.192,0.0,7.542000000000001,0.272,66.672
2.5,MQ,3.0,3.192,3.192,0.0,10.056,0.27,68.868
2.5,MQ,7.0,3.3520000000000003,3.3520000000000003,0.0,10.056,0.285,74.457
2.5,MQ,7.0,3.3520000000000003,3.3520000000000003,0.0,10.056,0.291,73.083
2.5,MQ,7.0,3.3520000000000003,3.3520000000000003,0.0,20.91532130137204,0.334,73.083
2.5,PBS,2.5,0.9591635424866132,1.0310812245632734,2.680737849495766,0.0,0.242659577162159,451.294972790339
2.5,PBS,2.5,1.918327084973226,1.0310812245632734,2.437034408632514,0.0,0.187131611317078,124.961785350713
2.5,PBS,2.5,5.754981254919678,1.5466218368449105,0.0,3.918925331537834,0.267,64.4
2.5,PBS,2.5,5.754981254919678,1.5466218368449105,0.0,11.5644,0.267,64.4
2.5,PBS,2.5,5.754981254919678,1.5466218368449105,10.235544516256562,0.0,0.201333997671457,1991.83548152214
2.5,PBS,4.0,12.8,5.15895461011433,0.0,3.0,0.296,126.0
2.5,PBS,4.0,12.8,5.15895461011433,0.0,9.576,0.343,93.8
2.5,PBS,4.0,12.8,5.15895461011433,0.0,20.91532130137204,0.336,97.7
2.5,PBS,4.0,12.8,8.598257683523885,0.0,10.056,0.345,97.7
2.5,PBS,4.0,12.8,8.598257683523885,0.0,10.972990928305936,0.262,130.2
2.5,PBS,5.0,1.918327084973226,1.0310812245632734,0.0,3.918925331537834,0.375,97.6
2.5,PBS,5.0,2.877490627459839,3.093243673689821,0.0,20.91532130137204,0.105,147.8
2.5,PBS,6.0,12.79764984945341,6.878606146819108,16.258078863117323,0.0,0.274,101.0
2.5,PBS,8.0,12.79764984945341,5.15895461011433,0.0,3.75,0.245,125.2
2.5,PBS,8.0,12.8,5.15895461011433,0.0,10.056,0.351,131.3
