ESM,PEG,CHOL,AQUEOUS,HSPC,TFR,ML,FRR,CHIP,SIZE,PDI
0,0,0,0,0,1,0,0,0,0,1.5
0,0,0,0,0,2,0,0,0,0,1.0
0,0,0,0,0,2,0,0,0,1,2.0
0,0,0,0,0,2,1,0,0,1,3.0
0,0,0,0,0,3,0,0,0,0,2.0
0,0,0,0,0,3,0,1,0,0,1.0
0,0,0,0,0,3,1,0,0,1,3.0
0,0,0,0,0,3,1,0,0,2,3.0
0,0,0,0,0,4,0,0,0,0,3.0
0,0,1,0,0,0,0,0,0,0,1.0
0,0,1,0,0,0,0,0,0,1,1.0
0,0,1,0,0,0,0,2,1,2,3.0
0,0,1,0,0,1,0,0,0,2,1.0
0,0,1,0,0,1,0,1,0,0,2.0
0,0,1,0,0,1,0,2,1,1,3.0
0,0,1,0,0,1,0,2,1,2,3.0
0,0,1,0,0,1,0,2,1,3,3.0
0,0,1,0,0,2,0,0,0,0,1.8333333333333333
0,0,1,0,0,2,0,0,0,1,1.8
0,0,1,0,0,2,1,0,0,1,1.0
0,0,1,0,0,2,1,0,0,2,1.0
0,0,1,0,0,3,0,0,0,0,2.0
0,0,1,0,0,3,0,0,0,1,2.0
0,0,1,0,0,3,1,0,0,2,1.0
0,0,1,0,0,4,0,0,0,0,2.3333333333333335
0,0,1,0,0,4,1,0,0,3,1.0
0,0,1,1,0,0,1,2,0,1,1.0
0,0,2,0,0,0,0,0,0,0,1.5
0,0,2,0,0,0,1,0,0,2,1.0
0,0,2,0,0,1,0,2,0,1,1.0
0,0,2,0,0,2,0,0,0,0,1.5
0,0,2,0,0,2,0,0,0,1,1.0
0,0,2,0,0,2,1,0,0,0,1.0
0,0,2,0,0,2,1,0,0,2,2.0
0,0,2,0,0,3,0,0,0,1,1.0
0,0,2,0,0,3,0,1,0,1,1.0
0,0,2,0,0,3,1,0,0,3,0.0
0,0,2,0,0,4,0,0,0,0,1.0
0,0,2,0,0,4,1,0,0,1,0.0
