ESM,CHOL,AQUEOUS,PEG,TFR,HSPC,FRR,ML,CHIP,SIZE,PDI
0,0,0,0,0,0,0,0,0,0,2.0
0,0,0,0,0,0,0,1,0,1,1.0
0,0,0,0,0,0,0,1,1,1,3.0
0,0,0,0,0,0,2,0,1,1,3.0
0,0,0,0,1,0,0,0,0,0,3.0
0,0,0,0,1,0,0,1,0,3,0.0
0,0,0,0,1,0,2,0,0,2,3.0
0,0,0,0,2,0,0,0,0,0,2.5
0,0,0,0,2,0,0,0,0,1,2.5
0,0,0,0,2,0,0,0,0,2,1.0
0,0,0,0,2,0,0,1,0,1,3.0
0,0,0,0,2,0,0,1,0,2,3.0
0,0,0,0,2,0,2,1,0,1,0.0
0,0,0,0,4,0,0,0,0,0,2.0
0,0,0,0,4,0,0,1,0,1,3.0
0,0,0,1,0,0,0,0,0,2,2.0
0,0,0,1,0,0,0,1,0,1,0.0
0,0,0,1,0,0,2,0,0,1,3.0
0,0,0,1,1,0,0,1,0,1,3.0
0,0,0,1,2,0,0,0,0,0,3.0
0,0,0,1,4,0,0,0,0,0,3.0
0,0,0,4,0,2,0,0,0,0,2.5
0,0,0,4,0,2,0,0,0,1,2.0
0,0,0,4,0,2,0,0,0,2,3.0
0,0,0,4,1,2,0,0,0,1,1.0
0,0,0,4,1,2,0,0,1,2,3.0
0,0,0,4,1,2,2,0,1,3,3.0
0,0,0,4,2,2,0,0,0,0,2.6666666666666665
0,0,0,4,2,2,0,0,0,1,3.0
0,0,0,4,3,2,0,0,0,1,3.0
0,0,0,4,3,2,1,0,0,0,2.0
0,0,0,4,4,2,0,0,0,0,3.0
0,0,0,4,4,2,0,0,0,1,3.0
0,0,1,0,0,0,0,0,1,0,3.0
0,0,1,0,0,0,0,1,1,3,3.0
0,0,1,0,1,0,0,1,1,3,3.0
0,0,1,4,1,2,0,0,0,0,2.0
0,1,0,0,2,0,0,0,0,0,3.0
0,1,0,3,0,2,0,0,0,0,1.0
0,1,0,3,0,2,0,0,0,1,2.0
0,1,0,3,0,2,2,0,1,1,3.0
0,1,0,3,0,2,2,0,1,2,3.0
0,1,0,3,1,2,0,0,0,0,2.0
0,1,0,3,1,2,2,0,0,0,1.0
0,1,0,3,2,2,0,0,0,0,2.090909090909091
0,1,0,3,2,2,0,0,0,1,2.0
0,1,0,3,2,2,0,0,0,2,3.0
0,1,0,3,3,2,0,0,0,0,1.0
0,1,0,3,3,2,1,0,0,0,1.75
0,1,0,3,4,2,0,0,0,0,2.125
0,1,0,3,4,2,0,0,0,1,2.0
0,1,1,3,0,2,0,0,1,2,3.0
0,1,1,3,0,2,2,0,0,0,2.0
0,1,1,3,0,2,2,0,1,3,3.0
0,1,1,3,1,2,0,0,0,0,1.0
0,1,1,3,1,2,0,0,0,2,1.0
0,2,0,0,0,0,0,0,0,0,1.0
