CHOL,ESM,PEG,HSPC,AQUEOUS,FRR,TFR,SIZE,PDI
0.5155406122816367,0.0,0.9591635424866132,2.612616887691889,PBS,2.5,1.0,140.5,0.428
0.5155406122816367,0.0,0.9591635424866132,9.576,PBS,2.5,2.5,64.4,0.184
0.5155406122816367,0.0,0.9591635424866132,10.972990928305936,PBS,2.5,1.0,414.4,0.428
0.5155406122816367,0.0,0.9591635424866132,17.429434417810032,PBS,2.5,2.5,64.4,0.184
1.0310812245632734,0.0,0.9591635424866132,10.056,PBS,2.5,2.5,112.4,0.184
1.0310812245632734,0.0,1.918327084973226,9.576,PBS,5.0,2.5,118.8,0.375
1.5466218368449105,10.235544516256562,5.754981254919678,0.0,PBS,2.5,2.5,1991.83548152214,0.201333997671457
3.0,0.0,3.0,9.576,PBS,3.0,0.25,148.899,0.369
3.093243673689821,0.0,2.877490627459839,9.576,PBS,2.5,1.0,138.8,0.163
3.093243673689821,7.311103225897543,5.754981254919678,0.0,PBS,5.0,1.0,84.1084744653935,0.21054961061435
3.192,0.0,3.192,8.547600000000001,MQ,3.0,1.375,81.475,0.251
3.192,0.0,3.192,8.547600000000001,MQ,4.4,0.58,102.589,0.306
3.192,0.0,3.192,9.576,MQ,3.0,1.375,80.386,0.229
3.192,0.0,3.192,9.576,MQ,3.0,1.375,83.696,0.257
3.192,0.0,3.192,12.570000000000002,MQ,3.0,1.375,77.339,0.251
3.192,0.0,3.192,20.91532130137204,MQ,3.0,2.5,68.868,0.272
3.3520000000000003,0.0,3.3520000000000003,7.542000000000001,MQ,7.0,1.37,67.136,0.243
3.3520000000000003,0.0,3.3520000000000003,8.547600000000001,MQ,7.0,0.25,124.162,0.284
3.3520000000000003,0.0,3.3520000000000003,9.576,MQ,7.0,0.25,108.6,0.284
3.3520000000000003,0.0,3.3520000000000003,10.056,MQ,7.0,0.25,122.904,0.317
3.3520000000000003,0.0,3.3520000000000003,10.056,MQ,7.0,0.25,124.162,0.317
3.3520000000000003,0.0,3.3520000000000003,12.570000000000002,MQ,7.0,1.37,85.58,0.286
3.3520000000000003,0.0,3.3520000000000003,15.77363814811808,MQ,7.0,2.5,73.083,0.334
5.0,15.0,0.0,0.0,MQ,3.0,0.25,180.646,0.213
5.0,15.0,0.0,0.0,MQ,3.0,0.25,190.929,0.271
5.0,15.0,0.0,0.0,MQ,3.0,1.375,165.879,0.099
5.0,15.0,0.0,0.0,MQ,5.0,1.375,137.567,0.037
5.15895461011433,19.509694635740782,12.79764984945341,0.0,PBS,8.0,2.5,85.0,0.18
5.363200000000001,0.0,2.8492,13.943547534248028,MQ,1.0,2.5,90.31,0.217
6.704000000000001,0.0,2.514,8.547600000000001,MQ,1.0,1.375,158.663,0.14
6.704000000000001,0.0,2.514,9.576,MQ,7.0,1.37,77.267,0.273
6.704000000000001,0.0,2.514,10.056,MQ,1.0,2.5,108.9,0.13
6.704000000000001,0.0,2.514,12.570000000000002,MQ,3.5002575415843395,1.375,71.77,0.171
6.878606146819108,0.0,12.8,20.91532130137204,PBS,4.0,2.5,97.7,0.345
7.695440626753877,0.0,12.79764984945341,3.657663642768645,PBS,8.0,2.5,95.1,0.242
7.695440626753877,0.0,12.79764984945341,7.542000000000001,PBS,8.0,2.5,122.1,0.242
8.598257683523885,0.0,12.8,8.547600000000001,PBS,8.0,2.5,95.0,0.351
8.598257683523885,13.006463090493858,12.79764984945341,0.0,PBS,4.0,2.5,94.0,0.179
10.121,24.779,0.0,0.0,MQ,1.6,0.58,189.764,0.271
10.121,24.779,0.0,0.0,MQ,3.0,0.25,167.216,0.16
10.121,24.779,0.0,0.0,MQ,3.0,0.25,183.962,0.132
10.121,24.779,0.0,0.0,MQ,3.0,1.375,139.657,0.061
10.121,24.779,0.0,0.0,MQ,3.0,1.375,158.593,0.0865
10.121,24.779,0.0,0.0,MQ,3.0,1.375,162.206,0.061
10.121,24.779,0.0,0.0,MQ,5.0,1.375,115.891,0.07
20.0,20.0,0.0,0.0,MQ,3.0,0.25,6478.919,0.106
